,date,forecast_latitude,forecast_longitude,temperature_2m,precipitation_probability,precipitation,region,district,district_latitude,district_longitude
170,2024-11-12 23:00:00+00:00,4.375,43.125,24.663,13.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
171,2024-11-13 00:00:00+00:00,4.375,43.125,24.413,3.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
172,2024-11-13 01:00:00+00:00,4.375,43.125,24.063,8.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
173,2024-11-13 02:00:00+00:00,4.375,43.125,23.813,5.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
174,2024-11-13 03:00:00+00:00,4.375,43.125,23.563,3.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
175,2024-11-13 04:00:00+00:00,4.375,43.125,23.913,3.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
176,2024-11-13 05:00:00+00:00,4.375,43.125,25.163,25.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
177,2024-11-13 06:00:00+00:00,4.375,43.125,26.963001,63.0,0.2,Bakool,Rab Dhuure,4.3457412,43.1512379
178,2024-11-13 07:00:00+00:00,4.375,43.125,28.263,80.0,0.1,Bakool,Rab Dhuure,4.3457412,43.1512379
179,2024-11-13 08:00:00+00:00,4.375,43.125,29.363,88.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
180,2024-11-13 09:00:00+00:00,4.375,43.125,30.263,88.0,0.1,Bakool,Rab Dhuure,4.3457412,43.1512379
181,2024-11-13 10:00:00+00:00,4.375,43.125,31.013,88.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
182,2024-11-13 11:00:00+00:00,4.375,43.125,31.063,80.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
183,2024-11-13 12:00:00+00:00,4.375,43.125,29.813,80.0,0.2,Bakool,Rab Dhuure,4.3457412,43.1512379
184,2024-11-13 13:00:00+00:00,4.375,43.125,29.063,48.0,0.3,Bakool,Rab Dhuure,4.3457412,43.1512379
185,2024-11-13 14:00:00+00:00,4.375,43.125,28.113,28.0,0.7,Bakool,Rab Dhuure,4.3457412,43.1512379
186,2024-11-13 15:00:00+00:00,4.375,43.125,27.413,13.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
187,2024-11-13 16:00:00+00:00,4.375,43.125,26.563,0.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
188,2024-11-13 17:00:00+00:00,4.375,43.125,25.913,0.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
189,2024-11-13 18:00:00+00:00,4.375,43.125,25.413,0.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
190,2024-11-13 19:00:00+00:00,4.375,43.125,24.963001,0.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
191,2024-11-13 20:00:00+00:00,4.375,43.125,24.663,0.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
192,2024-11-13 21:00:00+00:00,4.375,43.125,24.463001,0.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
193,2024-11-13 22:00:00+00:00,4.375,43.125,24.213001,0.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
194,2024-11-13 23:00:00+00:00,4.375,43.125,23.913,0.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
195,2024-11-14 00:00:00+00:00,4.375,43.125,23.663,0.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
196,2024-11-14 01:00:00+00:00,4.375,43.125,23.063,0.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
197,2024-11-14 02:00:00+00:00,4.375,43.125,22.613,0.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
198,2024-11-14 03:00:00+00:00,4.375,43.125,22.413,0.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
199,2024-11-14 04:00:00+00:00,4.375,43.125,23.063,3.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
200,2024-11-14 05:00:00+00:00,4.375,43.125,25.263,5.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
201,2024-11-14 06:00:00+00:00,4.375,43.125,27.113,15.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
202,2024-11-14 07:00:00+00:00,4.375,43.125,29.163,30.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
203,2024-11-14 08:00:00+00:00,4.375,43.125,31.063,28.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
204,2024-11-14 09:00:00+00:00,4.375,43.125,32.213,28.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
205,2024-11-14 10:00:00+00:00,4.375,43.125,33.163002,10.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
206,2024-11-14 11:00:00+00:00,4.375,43.125,33.763,13.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
207,2024-11-14 12:00:00+00:00,4.375,43.125,34.063,8.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
