district,long_term_monthly_mean,month,region,threshold,value,year
Wanla Weyn,81.25175,04,Lower Shabelle,Alert,54.867,2022
Wanla Weyn,58.84133333333333,05,Lower Shabelle,Alert,41.68,2022
Wanla Weyn,15.968333333333334,06,Lower Shabelle,Alert,12.586,2022
Wanla Weyn,17.284125,07,Lower Shabelle,Normal,15.901,2022
Wanla Weyn,6.404541666666667,08,Lower Shabelle,Normal,6.765,2022
Wanla Weyn,5.0369166666666665,09,Lower Shabelle,Normal,4.64,2022
Wanla Weyn,111.71121739130434,10,Lower Shabelle,Alarm,31.587,2022
Wanla Weyn,61.31475,11,Lower Shabelle,Alarm,19.9,2022
Wanla Weyn,1.6720416666666666,01,Lower Shabelle,Normal,1.859,2022
Wanla Weyn,8.324708333333334,12,Lower Shabelle,Alert,3.521,2022
Xudur,2.3320833333333333,06,Bakool,Alert,1.153,2022
Sablaale,0.8073333333333333,01,Lower Shabelle,Normal,1.01,2022
Sablaale,0.9485,02,Lower Shabelle,Normal,0.918,2022
Sablaale,11.212125,03,Lower Shabelle,Normal,12.216,2022
Sablaale,128.811,04,Lower Shabelle,Alert,79.521,2022
Sablaale,118.52583333333334,05,Lower Shabelle,Normal,114.633,2022
Sablaale,50.698791666666665,06,Lower Shabelle,Normal,41.415,2022
Sablaale,41.74220833333333,07,Lower Shabelle,Normal,39.614,2022
Sablaale,19.581958333333333,08,Lower Shabelle,Alert,13.679,2022
Sablaale,15.461416666666667,09,Lower Shabelle,Alert,12.0,2022
Sablaale,89.34878260869566,10,Lower Shabelle,Alert,45.769,2022
Sablaale,82.45270833333333,11,Lower Shabelle,Alarm,22.8,2022
Sablaale,14.252875,12,Lower Shabelle,Alert,8.965,2022
Qoryooley,0.9635,01,Lower Shabelle,Normal,1.185,2022
Qoryooley,0.5652916666666666,02,Lower Shabelle,Normal,0.532,2022
Qoryooley,7.502791666666667,03,Lower Shabelle,Normal,8.588,2022
Qoryooley,85.052375,04,Lower Shabelle,Alert,64.067,2022
Qoryooley,72.8545,05,Lower Shabelle,Normal,63.568,2022
Qoryooley,34.56041666666667,06,Lower Shabelle,Alert,25.475,2022
Qoryooley,33.16175,07,Lower Shabelle,Normal,30.056,2022
Ceel Barde,1.209625,12,Bakool,Alarm,0.25,2022
Ceel Barde,21.693791666666666,11,Bakool,Alarm,8.6,2022
